date,0:open,0:high,0:close,0:low,0:volume,1:open,1:high,1:close,1:low,1:volume,2:open,2:high,2:close,2:low,2:volume,3:open,3:high,3:close,3:low,3:volume,4:open,4:high,4:close,4:low,4:volume,5:open,5:high,5:close,5:low,5:volume,6:open,6:high,6:close,6:low,6:volume,7:open,7:high,7:close,7:low,7:volume,8:open,8:high,8:close,8:low,8:volume,9:open,9:high,9:close,9:low,9:volume,10:open,10:high,10:close,10:low,10:volume,11:open,11:high,11:close,11:low,11:volume,12:open,12:high,12:close,12:low,12:volume,13:open,13:high,13:close,13:low,13:volume,14:open,14:high,14:close,14:low,14:volume,15:open,15:high,15:close,15:low,15:volume,16:open,16:high,16:close,16:low,16:volume,17:open,17:high,17:close,17:low,17:volume,18:open,18:high,18:close,18:low,18:volume,19:open,19:high,19:close,19:low,19:volume,20:open,20:high,20:close,20:low,20:volume,21:open,21:high,21:close,21:low,21:volume,22:open,22:high,22:close,22:low,22:volume,23:open,23:high,23:close,23:low,23:volume,24:open,24:high,24:close,24:low,24:volume,25:open,25:high,25:close,25:low,25:volume,26:open,26:high,26:close,26:low,26:volume,27:open,27:high,27:close,27:low,27:volume,28:open,28:high,28:close,28:low,28:volume,29:open,29:high,29:close,29:low,29:volume,30:open,30:high,30:close,30:low,30:volume,31:open,31:high,31:close,31:low,31:volume,32:open,32:high,32:close,32:low,32:volume,33:open,33:high,33:close,33:low,33:volume,34:open,34:high,34:close,34:low,34:volume,35:open,35:high,35:close,35:low,35:volume,36:open,36:high,36:close,36:low,36:volume,37:open,37:high,37:close,37:low,37:volume,38:open,38:high,38:close,38:low,38:volume,39:open,39:high,39:close,39:low,39:volume,40:open,40:high,40:close,40:low,40:volume,41:open,41:high,41:close,41:low,41:volume,42:open,42:high,42:close,42:low,42:volume,43:open,43:high,43:close,43:low,43:volume,44:open,44:high,44:close,44:low,44:volume,45:open,45:high,45:close,45:low,45:volume,46:open,46:high,46:close,46:low,46:volume,47:open,47:high,47:close,47:low,47:volume,48:open,48:high,48:close,48:low,48:volume,49:open,49:high,49:close,49:low,49:volume,50:open,50:high,50:close,50:low,50:volume,51:open,51:high,51:close,51:low,51:volume,52:open,52:high,52:close,52:low,52:volume,53:open,53:high,53:close,53:low,53:volume
6/22/2015,4500,4500,4455,4440,23465,2240,2330,2304,2240,2558259,2130,2180,2176,2130,38115,1399,1468,1458,1372,6006362,2863,2979,2950,2850,2507840,2254,2341,2315,2230,6382481,0,0,7782,0,0,0,0,3261,0,0,1640,1705,1668,1600,3315470,1073,1144,1131,1071,5775428,6160,6249,6139,6011,787606,881,935,926,875,50881570,0,0,34473,0,0,2790,2880,2823,2780,255296,7810,7810,7810,7810,51572,2075,2174,2166,2061,10503635,1603,1603,1683,1603,15007,826,862,850,826,6478171,897,897,897,897,40000,0,0,1000,0,0,2300,2300,2393,2216,10169,2245,2245,2197,2172,618475,1160,1170,1156,1140,441740,4082,4193,4182,4082,171513,0,0,1000,0,0,2227,2340,2289,2227,269365,2246,2246,2135,2098,65084,2271,2374,2319,2271,891771,614,635,629,614,2920882,1810,1839,1822,1802,270454,640,670,661,638,5926304,7510,7510,7510,7510,4040,8771,8810,8890,8770,72692,3483,3486,3634,3483,28054,1289,1342,1324,1260,6356391,3595,3738,3644,3535,253677,4755,4847,4784,4700,228987,2784,2884,2795,2700,3029327,4700,4700,4369,4308,620668,2500,2672,2643,2500,1638745,1627,1682,1628,1610,71467,931,974,971,930,2990618,4868,4868,4868,4868,127079,2694,2839,2789,2681,6844074,0,0,1200,0,0,0,0,1000,0,0,0,0,446,0,0,950,997,970,950,727931,1062,1062,1061,1043,2100981,0,0,1000,0,0,1035,1035,1035,1035,3199297,2170,2189,2175,2131,833109,6523,6880,6778,6523,649926,5250,5415,5185,5000,15625
6/23/2015,4606,4606,4474,4460,17816,2300,2379,2316,2281,14343218,2133,2200,2168,2133,251223,1500,1530,1524,1490,17192638,3037,3097,3079,3015,2662035,2338,2405,2370,2300,6346737,7393,7393,7393,7393,740,0,0,3261,0,0,1680,1712,1686,1662,2488180,1139,1170,1148,1125,3666840,6199,6445,6306,6170,1861829,949,972,955,936,55966523,0,0,34473,0,0,2830,2887,2791,2765,814111,8200,8200,8200,8200,13126,2250,2274,2272,2250,24869331,1599,1599,1678,1599,18996,855,878,859,842,10359324,900,900,891,866,710000,0,0,1000,0,0,2215,2333,2336,2215,299641,2252,2306,2250,2185,730703,1172,1176,1156,1141,710094,4391,4391,4235,4391,35035,0,0,1000,0,0,2290,2300,2273,2233,628093,2199,2199,2150,2120,125591,2330,2434,2405,2330,1129108,621,641,635,621,3075446,1800,1870,1835,1800,541710,670,700,686,670,7909661,7550,7550,7550,7550,1071,8446,9300,8675,8446,87981,3453,3453,3584,3453,44164,1378,1390,1385,1358,11869194,3779,3779,3609,3550,1138495,4785,4850,4727,4680,192532,2755,2875,2819,2755,3365039,4300,4587,4421,4300,99211,2650,2728,2711,2650,1316766,1600,1677,1644,1600,116625,1011,1019,1008,973,3823145,5111,5111,5080,5111,89426,2849,2891,2856,2805,9085134,0,0,1196,0,0,0,0,1000,0,0,0,0,446,0,0,990,1018,1017,990,1656166,1064,1114,1094,1064,1835956,0,0,1000,0,0,1030,1030,1030,1030,1031428,2196,2278,2203,2168,1375889,6849,7116,7031,6801,1932770,5400,5420,5197,5400,5211
6/24/2015,4577,4577,4256,4251,68845,2300,2315,2290,2271,4976795,2167,2205,2173,2166,151144,1540,1561,1529,1484,17676498,3146,3146,3091,3011,1744053,2360,2360,2301,2280,5129283,7024,7024,7392,7024,148,3424,3424,3424,3424,1767739,1700,1711,1659,1620,2806111,1148,1148,1118,1107,8278105,6510,6621,6596,6460,2022955,969,972,950,930,48062803,0,0,34473,0,0,2810,2820,2753,2655,940252,8610,8610,8608,8212,4999502,2289,2368,2289,2251,15503655,1511,1511,1437,1436,230213,868,868,846,838,12072031,890,904,893,890,121200,0,0,1000,0,0,2304,2304,2263,2241,122100,2360,2362,2347,2241,615291,1190,1190,1152,1130,780945,4446,4446,4446,4446,226993,0,0,1000,0,0,2230,2265,2210,2190,269614,2130,2150,2138,2121,43352,2525,2525,2509,2400,2414549,645,645,629,620,3531589,1790,1860,1831,1790,290493,690,720,703,680,9390708,7800,8000,8000,7800,5019,9088,9089,9023,8512,180836,3405,3405,3536,3405,42729,1400,1411,1355,1322,10688079,3539,3638,3500,3440,1347213,4710,4770,4667,4560,123328,2889,2889,2812,2750,2022469,4500,4550,4495,4500,139326,2710,2710,2660,2600,743224,1695,1695,1649,1615,66606,1039,1039,999,983,981088,5334,5334,5334,5334,185857,2850,2880,2804,2778,9693569,0,0,1196,0,0,0,0,1000,0,0,0,0,446,0,0,1060,1067,1054,992,2102911,1107,1107,1049,1040,958714,0,0,1000,0,0,1030,1043,1043,1030,2217278,2254,2254,2165,2110,418986,7382,7382,7353,7172,1685965,5417,5417,5198,5200,11610
6/25/2015,4399,4399,4145,4069,0,2306,2306,2267,2240,0,2180,2214,2176,2180,0,1527,1597,1549,1501,0,3033,3095,3017,2954,0,2310,2310,2261,2230,0,0,0,7392,0,0,3595,3595,3595,3572,0,1660,1725,1702,1631,0,1105,1127,1108,1091,0,6788,6879,6772,6660,0,935,968,949,934,0,0,0,34473,0,0,2768,2810,2789,2760,0,8600,8949,8675,8300,0,2295,2395,2337,2282,0,1366,1366,1428,1366,0,855,870,856,844,0,904,909,881,861,0,0,0,1000,0,0,2210,2299,2252,2210,0,2281,2443,2389,2281,0,1160,1160,1151,1140,0,4668,4668,4640,4370,0,0,0,1000,0,0,2250,2309,2262,2211,0,2125,2214,2135,2082,0,2500,2555,2517,2430,0,620,640,625,616,0,1849,1849,1807,1799,0,715,750,735,690,0,8500,8500,8500,8500,0,8998,9380,9233,8920,0,3360,3360,3479,3360,0,1356,1380,1353,1326,0,3451,3487,3368,3325,0,4724,4724,4599,4550,0,2830,2830,2741,2696,0,4550,4700,4557,4550,0,2667,2765,2655,2527,0,1630,1695,1650,1630,0,984,1000,971,952,0,5490,5600,5478,5150,0,2778,2840,2784,2760,0,0,0,1196,0,0,0,0,1000,0,0,0,0,446,0,0,1070,1090,1056,1023,0,1030,1060,1030,1008,0,0,0,1000,0,0,0,0,1043,0,0,2112,2191,2159,2112,0,7488,7670,7446,7210,0,5200,5200,5198,5200,0
6/26/2015,4399,4399,4145,4069,0,2306,2306,2267,2240,0,2180,2214,2176,2180,0,1527,1597,1549,1501,0,3033,3095,3017,2954,0,2310,2310,2261,2230,0,0,0,7392,0,0,3595,3595,3595,3572,0,1660,1725,1702,1631,0,1105,1127,1108,1091,0,6788,6879,6772,6660,0,935,968,949,934,0,0,0,34473,0,0,2768,2810,2789,2760,0,8600,8949,8675,8300,0,2295,2395,2337,2282,0,1366,1366,1428,1366,0,855,870,856,844,0,904,909,881,861,0,0,0,1000,0,0,2210,2299,2252,2210,0,2281,2443,2389,2281,0,1160,1160,1151,1140,0,4668,4668,4640,4370,0,0,0,1000,0,0,2250,2309,2262,2211,0,2125,2214,2135,2082,0,2500,2555,2517,2430,0,620,640,625,616,0,1849,1849,1807,1799,0,715,750,735,690,0,8500,8500,8500,8500,0,8998,9380,9233,8920,0,3360,3360,3479,3360,0,1356,1380,1353,1326,0,3451,3487,3368,3325,0,4724,4724,4599,4550,0,2830,2830,2741,2696,0,4550,4700,4557,4550,0,2667,2765,2655,2527,0,1630,1695,1650,1630,0,984,1000,971,952,0,5490,5600,5478,5150,0,2778,2840,2784,2760,0,0,0,1196,0,0,0,0,1000,0,0,0,0,446,0,0,1070,1090,1056,1023,0,1030,1060,1030,1008,0,0,0,1000,0,0,0,0,1043,0,0,2112,2191,2159,2112,0,7488,7670,7446,7210,0,5200,5200,5198,5200,0
6/27/2015,4399,4399,4145,4069,96138,2306,2306,2267,2240,2934549,2180,2214,2176,2180,18297,1527,1597,1549,1501,8498159,3033,3095,3017,2954,974291,2310,2310,2261,2230,3871700,0,0,7392,0,0,3595,3595,3595,3572,4477913,1660,1725,1702,1631,3936259,1105,1127,1108,1091,3573395,6788,6879,6772,6660,1820115,935,968,949,934,23989118,0,0,34473,0,0,2768,2810,2789,2760,1256764,8600,8949,8675,8300,1303781,2295,2395,2337,2282,11890770,1366,1366,1428,1366,42281,855,870,856,844,6425288,904,909,881,861,1168100,0,0,1000,0,0,2210,2299,2252,2210,49481,2281,2443,2389,2281,199503,1160,1160,1151,1140,117056,4668,4668,4640,4370,2870600,0,0,1000,0,0,2250,2309,2262,2211,196831,2125,2214,2135,2082,125075,2500,2555,2517,2430,396033,620,640,625,616,2510499,1849,1849,1807,1799,21440,715,750,735,690,11022267,8500,8500,8500,8500,2350,8998,9380,9233,8920,306656,3360,3360,3479,3360,51998,1356,1380,1353,1326,4570178,3451,3487,3368,3325,2811276,4724,4724,4599,4550,79282,2830,2830,2741,2696,2032467,4550,4700,4557,4550,66613,2667,2765,2655,2527,1066333,1630,1695,1650,1630,44328,984,1000,971,952,902659,5490,5600,5478,5150,2827666,2778,2840,2784,2760,7534854,0,0,1196,0,0,0,0,1000,0,0,0,0,446,0,0,1070,1090,1056,1023,1060363,1030,1060,1030,1008,454814,0,0,1000,0,0,0,0,1043,0,0,2112,2191,2159,2112,555456,7488,7670,7446,7210,475213,5200,5200,5198,5200,300
6/28/2015,4009,4010,3980,3951,38665,2272,2272,2202,2189,1996896,2134,2169,2154,2115,170000,1511,1524,1480,1472,18667166,3000,3027,2959,2903,449015,2240,2240,2199,2180,3976902,0,0,7392,0,0,3740,3740,3605,3570,2792417,1702,1710,1654,1641,1035881,1081,1081,1071,1061,1780787,6785,6785,6556,6451,629095,935,939,908,902,28785532,0,0,34473,0,0,2801,2837,2796,2800,474025,8409,8668,8345,8248,1029808,2269,2298,2230,2221,3724313,1357,1357,1405,1357,114483,850,850,827,821,6567987,864,890,863,860,563100,0,0,1000,0,0,2297,2297,2239,2210,16677,2280,2330,2272,2270,500028,1150,1150,1147,1128,221914,4408,4510,4409,4408,1960829,0,0,1000,0,0,2318,2318,2255,2230,95060,2100,2104,2086,2065,117123,2516,2516,2411,2392,940852,618,620,604,596,4044162,1841,1870,1840,1800,481903,739,739,713,685,6506552,9000,9876,9651,8950,36119,0,0,9233,0,0,3306,3306,3461,3306,16315,1320,1338,1311,1289,5890892,3333,3350,3213,3200,1854311,4552,4677,4526,4418,96342,2641,2750,2663,2611,822405,4718,4784,4784,4718,842972,2601,2625,2605,2551,358183,1690,1690,1652,1633,17394,941,979,949,930,351529,5600,5751,5690,5499,1360472,2740,2741,2706,2671,7342096,0,0,1196,0,0,0,0,1000,0,0,0,0,446,0,0,1012,1038,1035,1011,339526,1020,1028,1011,1004,624928,0,0,1000,0,0,1043,1043,1040,1030,75291,2100,2100,2063,2052,343667,7301,7301,7087,7074,510455,5000,5376,5197,5000,3033
6/29/2015,3782,4137,4077,3782,6180,2220,2290,2237,2203,1005494,2160,2193,2154,2140,9322,1481,1537,1509,1471,8223751,2912,3049,2986,2912,392667,2220,2239,2203,2173,3092664,0,0,7392,0,0,3649,3649,3601,3521,202666,1670,1695,1679,1655,971714,1070,1104,1086,1060,1907062,6581,6798,6690,6581,753561,883,928,914,881,37819642,0,0,34473,0,0,2838,2877,2805,2830,157821,8322,8666,8469,8320,844974,2150,2285,2186,2120,12011697,1335,1335,1397,1335,40245,820,840,829,820,2673094,870,881,863,860,929000,0,0,1000,0,0,2205,2269,2244,2205,13301,2360,2385,2329,2205,141334,1160,1160,1145,1137,96046,4377,4580,4365,4201,849198,0,0,1000,0,0,2279,2289,2262,2231,101543,2055,2062,2053,2014,122435,2450,2460,2414,2350,344516,600,619,606,600,1804192,1812,1812,1779,1760,239863,713,738,722,701,4162390,0,0,9651,0,0,9380,9670,9244,8772,884175,3288,3288,3410,3288,47534,1286,1345,1317,1282,3915090,3120,3300,3069,3053,6640571,4530,4660,4517,4356,30373,2699,2719,2628,2562,1155437,5023,5023,5008,4900,1369995,2590,2645,2596,2552,707536,1649,1734,1721,1649,373855,940,975,953,940,161081,5850,5946,5665,5406,1928155,2672,2758,2722,2672,5739709,0,0,1196,0,0,0,0,1000,0,0,0,0,446,0,0,1050,1086,1081,1050,2114470,1034,1034,1015,1010,461718,0,0,1000,0,0,0,0,1040,0,0,2010,2118,2089,2001,213327,7129,7334,7162,7006,370176,5379,5379,5197,5250,222
6/30/2015,4139,4280,4268,4100,62786,2221,2347,2324,2221,5731506,2169,2261,2249,2169,256725,1565,1584,1573,1541,9704238,3048,3135,3096,3023,1929431,2230,2313,2305,2230,16491433,7023,7023,7389,7023,500,3640,3730,3635,3580,812546,1699,1762,1756,1690,2442224,1123,1140,1134,1104,7688885,6501,6950,6805,6501,1856025,939,959,949,935,30287297,0,0,34473,0,0,2869,2945,2876,2869,465678,8630,8892,8842,8630,982448,2280,2295,2284,2241,9906027,1328,1328,1354,1328,214555,828,867,857,828,8230660,861,914,893,861,2180230,0,0,1000,0,0,2279,2280,2261,2220,88090,2429,2429,2335,2333,71932,1157,1192,1171,1147,642524,4265,4400,4308,4180,1149514,0,0,1000,0,0,2290,2375,2354,2289,455753,2025,2120,2079,2007,82390,2381,2520,2472,2381,745215,620,636,629,600,4926927,1772,1850,1816,1770,247964,730,778,754,720,8489043,0,0,9651,0,0,8782,8782,8782,8782,98325,3240,3240,3357,3240,50114,1368,1382,1370,1340,7068333,0,0,3069,0,0,4610,4742,4702,4522,276190,0,0,2628,0,0,5247,5247,5050,4980,5582825,2610,2725,2698,2610,803398,1806,1807,1804,1797,459990,990,993,979,950,2134034,5382,5477,5386,5382,4101054,2753,2858,2842,2753,18729948,0,0,1196,0,0,0,0,1000,0,0,0,0,446,0,0,1134,1135,1133,1100,3235119,1038,1064,1035,1020,970423,0,0,1000,0,0,1030,1030,1030,1030,11100,2165,2193,2189,2165,1439649,7269,7435,7339,7200,484719,5372,5372,5199,5197,2900
7/1/2015,4390,4420,4180,4160,14017,2335,2340,2281,2251,5495282,2250,2361,2334,2213,321249,1600,1620,1581,1551,10124439,3111,3197,3108,3031,1988315,2300,2346,2290,2270,10404211,6651,6319,6319,6319,12378,3600,3601,3626,3552,155504,1764,1843,1817,1740,5958828,1130,1150,1132,1111,7280303,6702,6840,6699,6550,1199557,965,979,944,928,53993696,0,0,34473,0,0,2879,2959,2883,2863,257240,9150,9284,9258,9000,3074178,2310,2361,2321,2270,10364169,1287,1287,1345,1287,48698,862,865,844,832,8653200,905,939,916,900,1401430,0,0,1000,0,0,2289,2290,2256,2167,8729,2390,2390,2347,2300,384496,1190,1190,1147,1135,788977,4384,4384,4123,4093,1229321,0,0,1000,0,0,2350,2390,2357,2293,617809,2071,2071,2035,2025,92193,2495,2585,2492,2450,369452,639,650,634,623,2859611,1820,1829,1794,1775,79066,770,800,778,753,13263350,9876,9876,9876,9876,500,8343,8839,8361,8343,170029,3022,3173,3105,2900,1986256,1385,1405,1384,1353,12285801,0,0,3069,0,0,4800,4937,4926,4800,1142893,0,0,2628,0,0,5250,5255,5078,5056,5690834,2741,2793,2735,2681,2203033,1894,1894,1894,1890,719712,970,982,941,931,1409163,0,0,5386,0,0,2879,2906,2866,2821,10565761,0,0,1196,0,0,0,0,1000,0,0,0,0,446,0,0,1140,1154,1086,1077,1569255,1063,1063,1033,1020,514189,0,0,1000,0,0,1030,1030,1030,1030,336177,2225,2297,2244,2193,1549102,7418,7418,7083,6973,894681,5412,5412,5108,4940,60259
