,id,title,is_succeeded,start_date,close_date,expected_return,expected_risk,expert_id,symbol_id,should_buy,profit
0,8,,1,2019-06-25,2019-07-07,48.39,-14.8,49,0,0,18.0
1,9,,1,2019-06-24,2019-09-16,47.12,-15.83,49,0,0,42.69
2,33,,1,2018-12-01,2019-05-25,44.64,-19.73,49,0,0,124.8
3,41,,1,2018-08-29,2019-01-23,49.84,-20.66,49,0,0,48.28
4,45,,1,2018-08-28,2019-01-20,49.88,-21.15,49,0,0,27.5
5,47,,1,2018-08-20,2019-02-17,29.02,-22.75,49,0,0,42.6
6,48,,1,2018-08-20,2019-05-25,54.54,-18.52,49,0,0,128.14
7,49,,1,2018-08-20,2019-01-20,53.73,-23.19,49,0,0,23.62
8,248,,1,2018-10-03,2019-05-04,57.51,-1.95,69,0,0,31.63
9,476,,0,2017-11-05,2017-12-31,15.39,-11.7,64,0,0,-11.7
10,495,,1,2018-11-24,2019-01-23,23.87,-18.56,65,0,0,23.87
11,509,,0,2018-10-01,2018-10-13,61.16,-25.32,65,0,0,-25.32
12,1066,,1,2016-11-14,2016-12-06,10.67,-7.09,24,0,0,7.12
13,2775,,0,2017-07-03,2018-03-03,81.01,-31.0,77,0,0,-8.54
14,2944,,0,2017-04-25,2017-04-12,33.04,-8.22,77,0,0,-8.22
15,3054,,1,2016-10-23,2016-11-09,9.57,-5.06,77,0,0,3.84
16,3096,,1,2016-09-07,2016-10-16,96.74,-16.25,77,0,0,19.59
17,3427,,1,2017-08-19,2017-11-03,57.68,-22.88,75,0,0,14.1
18,3530,,1,2017-05-02,2019-05-25,31.7,-5.91,75,0,0,26.5
19,3615,,1,2017-02-18,2017-04-03,43.92,-9.69,75,0,0,7.26
20,3919,,1,2018-05-07,2018-09-23,53.89,-31.02,83,0,0,53.89
21,3920,,1,2018-05-07,2018-09-23,53.89,-31.02,83,0,0,53.89
22,3967,,1,2018-05-05,2018-09-23,54.6,-29.97,83,0,0,54.6
23,4098,,1,2018-04-21,2019-04-09,56.7,-31.0,83,0,0,56.7
24,4099,,1,2018-04-21,2019-04-09,56.7,-31.0,83,0,0,56.7
25,4206,,0,2018-04-04,2018-05-01,62.34,-30.47,83,0,0,-30.47
26,4256,,0,2018-04-03,2018-05-01,62.37,-30.39,83,0,0,-30.39
27,4287,,0,2018-03-25,2018-05-01,60.36,-31.0,83,0,0,-32.09
28,4288,,0,2018-03-25,2018-04-28,59.1,-30.99,83,0,0,-30.31
29,4351,,0,2018-03-14,2018-04-17,56.68,-28.74,83,0,0,-28.74
30,4502,,0,2018-01-22,2018-04-08,53.09,-27.74,83,0,0,-27.74
31,4530,,0,2018-01-13,2018-04-17,77.4,-31.0,83,0,0,-40.69
32,4607,,0,2017-12-16,2018-04-10,76.02,-30.99,83,0,0,-36.58
33,4916,,0,2017-08-26,2018-03-12,32.31,-12.45,83,0,0,-12.45
34,5111,,1,2017-05-18,2019-05-25,33.28,-11.49,83,0,0,28.01
35,5133,,1,2017-05-10,2019-05-25,18.9,-7.24,83,0,0,24.7
36,5196,,1,2017-04-17,2019-05-25,19.38,-5.31,83,0,0,22.99
37,5389,,1,2018-07-31,2018-08-21,28.99,-30.22,79,0,0,9.49
38,5732,,1,2018-04-11,2019-02-21,64.06,-22.71,79,0,0,23.46
39,5771,,1,2018-04-09,2019-05-25,24.09,-29.67,79,0,0,91.05
40,5832,,0,2018-04-03,2018-04-23,16.29,-13.03,79,0,0,-13.03
41,5893,,0,2018-03-26,2018-04-23,14.33,-15.32,79,0,0,-15.32
42,5949,,0,2018-03-17,2018-04-23,16.77,-18.25,79,0,0,-18.25
43,5981,,0,2018-03-13,2018-04-23,17.0,-14.05,79,0,0,-14.05
44,6047,,0,2018-03-05,2018-04-23,31.62,-16.13,79,0,0,-16.13
45,6080,,1,2018-11-13,2019-05-25,41.55,-21.87,50,0,0,107.71
46,6081,,1,2018-11-13,2019-05-25,41.55,-21.87,50,0,0,107.71
47,6149,,1,2018-08-29,2018-10-04,52.25,-13.38,50,0,0,46.85
48,6412,,1,2018-05-06,2018-09-23,61.22,-30.97,81,0,0,61.22
49,6413,,1,2018-05-06,2018-09-23,61.22,-30.97,81,0,0,61.22
50,6442,,1,2018-05-05,2018-09-23,55.54,-29.97,81,0,0,55.54
51,6578,,1,2018-04-21,2019-04-09,56.7,-31.0,81,0,0,56.7
52,6579,,1,2018-04-21,2019-04-09,56.7,-31.0,81,0,0,56.7
53,6673,,0,2018-04-07,2018-05-01,62.96,-30.37,81,0,0,-30.37
54,6736,,0,2018-04-03,2018-05-01,61.97,-30.5,81,0,0,-30.5
55,6769,,0,2018-03-25,2018-04-28,60.17,-30.98,81,0,0,-30.39
56,6778,,0,2018-03-25,2018-05-01,59.49,-30.99,81,0,0,-32.17
57,6829,,0,2018-03-14,2018-04-17,56.68,-29.35,81,0,0,-29.35
58,6983,,0,2018-01-22,2018-04-09,52.84,-28.66,81,0,0,-28.66
59,7010,,0,2018-01-13,2018-04-17,77.4,-31.0,81,0,0,-41.93
60,7085,,0,2017-12-16,2018-04-09,76.75,-30.99,81,0,0,-34.32
61,7429,,0,2018-06-13,2018-08-05,24.53,-13.76,54,0,0,-13.76
62,7431,,0,2018-06-03,2018-08-05,24.68,-14.82,54,0,0,-14.82
63,7450,,0,2017-06-13,2017-09-12,18.84,-5.12,54,0,0,-5.12
64,7743,,1,2018-05-07,2018-09-23,56.87,-31.0,80,0,0,56.87
65,7745,,1,2018-05-07,2018-09-23,56.87,-31.0,80,0,0,56.87
66,7793,,1,2018-05-05,2018-09-23,55.7,-30.47,80,0,0,55.7
67,7920,,1,2018-04-21,2019-04-09,56.77,-31.01,80,0,0,56.77
68,7921,,1,2018-04-21,2019-04-09,56.77,-31.01,80,0,0,56.77
69,8016,,0,2018-04-07,2018-05-01,61.3,-30.45,80,0,0,-30.45
70,8084,,0,2018-04-03,2018-05-01,62.07,-30.45,80,0,0,-30.45
71,8121,,0,2018-03-25,2018-05-01,63.77,-30.34,80,0,0,-30.34
72,8122,,0,2018-03-25,2018-04-28,63.26,-29.52,80,0,0,-28.47
73,8177,,0,2018-03-14,2018-04-17,59.74,-29.04,80,0,0,-29.04
74,8574,,1,2017-05-27,2017-11-07,17.3,-2.8,74,0,0,11.5
75,8731,,1,2017-08-29,2019-05-25,24.8,-22.13,62,0,0,41.24
76,9004,,0,2018-03-13,2018-08-11,13.85,-17.18,78,0,0,-17.18
77,9010,,0,2018-03-13,2018-04-07,25.77,-10.44,78,0,0,-10.44
78,9050,,0,2018-03-05,2018-03-18,19.06,-18.63,78,0,0,-18.1
79,9124,,1,2018-01-31,2019-05-25,13.27,-22.08,78,0,0,42.07
80,9457,,0,2017-08-19,2017-09-13,7.32,-7.45,78,0,0,-5.25
81,9935,,1,2018-05-07,2018-09-23,53.54,-31.0,84,0,0,53.54
82,9936,,1,2018-05-07,2018-09-23,53.54,-31.0,84,0,0,53.54
83,9982,,1,2018-05-05,2018-09-23,55.18,-30.23,84,0,0,55.18
84,10112,,1,2018-04-21,2019-04-09,56.25,-30.96,84,0,0,56.25
85,10113,,1,2018-04-21,2019-04-09,56.25,-30.96,84,0,0,56.25
86,10234,,0,2018-04-03,2018-05-01,62.27,-30.4,84,0,0,-30.4
87,10235,,0,2018-04-03,2018-05-01,62.07,-30.45,84,0,0,-30.45
88,10308,,0,2018-03-25,2018-05-01,55.0,-30.49,84,0,0,-30.49
89,10309,,0,2018-03-25,2018-04-28,51.81,-29.43,84,0,0,-28.45
90,10370,,0,2018-03-14,2018-04-17,55.76,-27.51,84,0,0,-27.51
91,10530,,0,2018-01-23,2018-04-17,62.48,-31.01,84,0,0,-37.14
92,10561,,0,2018-01-13,2018-04-17,76.19,-31.0,84,0,0,-39.48
93,10643,,0,2017-12-16,2018-04-09,71.82,-30.99,84,0,0,-34.32
94,10959,,0,2017-08-26,2018-03-12,36.51,-12.91,84,0,0,-12.91
95,10990,,0,2017-08-14,2018-03-12,41.66,-13.53,84,0,0,-13.53
96,11188,,1,2017-05-28,2019-05-25,21.89,-6.0,84,0,0,27.84
97,11219,,1,2017-05-18,2019-05-25,22.06,-7.06,84,0,0,28.01
98,11275,,1,2017-04-28,2019-05-25,23.61,-7.6,84,0,0,18.72
99,11302,,1,2017-04-18,2019-05-25,25.38,-6.28,84,0,0,20.42
100,11350,,1,2017-04-03,2017-05-22,18.36,-8.16,84,0,0,22.07
101,11364,,1,2017-03-28,2017-05-31,31.62,-13.46,84,0,0,11.04
102,11374,,1,2017-03-25,2017-05-22,11.64,-8.06,84,0,0,29.66
103,11497,,1,2017-01-22,2017-05-22,22.62,-7.59,84,0,0,26.47
104,11525,,1,2017-01-01,2017-05-08,32.86,-7.29,84,0,0,20.57
105,11673,,0,2016-10-09,2017-04-07,41.85,-10.53,53,0,0,-10.53
106,11929,,1,2017-08-07,2017-11-07,29.11,-18.59,71,0,0,10.95
107,12069,,1,2018-05-05,2018-05-30,85.91,-31.0,67,0,0,8.81
108,12075,,0,2018-04-07,2018-05-01,59.34,-30.98,67,0,0,-30.98
109,12610,,1,2018-03-10,2019-05-25,17.73,-8.71,42,0,0,44.36
110,12645,,1,2017-10-09,2017-10-17,14.4,-3.7,42,0,0,10.35
111,12969,,1,2018-05-05,2018-09-23,54.6,-29.73,82,0,0,54.6
112,12970,,1,2018-05-05,2018-09-23,54.6,-29.73,82,0,0,54.6
113,13100,,1,2018-04-21,2019-04-09,56.48,-31.0,82,0,0,56.48
114,13101,,1,2018-04-21,2019-04-09,56.48,-31.0,82,0,0,56.48
115,13193,,0,2018-04-07,2018-05-01,62.22,-30.33,82,0,0,-30.33
116,13261,,0,2018-04-03,2018-05-01,62.22,-30.49,82,0,0,-30.49
117,13290,,0,2018-03-25,2018-04-28,65.15,-28.55,82,0,0,-27.49
118,13294,,0,2018-03-25,2018-05-01,59.49,-30.99,82,0,0,-32.17
119,13355,,0,2018-03-14,2018-04-17,55.76,-29.47,82,0,0,-29.47
120,13508,,0,2018-01-22,2018-04-09,54.84,-28.9,82,0,0,-28.9
